Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
45,Antonio Gibson\GibsAn00,WAS,22,rb,4,2,12,10,98,9.8,0,4,40,2.5,24.5,83.3%,8.2,44,186,3,11,20,4.2,46.5,11.0,54,5.3,284,3,1
46,Darrell Henderson\HendDa00,LAR,23,rb,4,2,7,4,62,15.5,0,3,28,1.0,15.5,57.1%,8.9,43,222,2,17,40,5.2,55.5,10.8,47,6.0,284,2,0
47,DeVante Parker\ParkDe01,MIA,27,wr,4,4,29,24,279,11.6,1,15,21,6.0,69.8,82.8%,9.6,,,,0,,,,,24,11.6,279,1,0
48,Mike Davis\DaviMi01,CAR,27,rb,4,2,23,21,146,7.0,1,7,22,5.3,36.5,91.3%,6.3,30,131,1,6,25,4.4,32.8,7.5,51,5.4,277,2,0
49,Adrian Peterson\PeteAd01,DET,35,rb,4,2,6,4,31,7.8,0,1,10,1.0,7.8,66.7%,5.2,54,245,1,11,27,4.5,61.3,13.5,58,4.8,276,1,0
50,Michael Gallup\GallMi00,DAL,24,wr,4,4,24,13,275,21.2,1,11,52,3.3,68.8,54.2%,11.5,,,,0,,,,,13,21.2,275,1,0
51,Kenyan Drake\DrakKe00,ARI,26,rb,4,2,5,5,20,4.0,0,0,6,1.3,5.0,100.0%,4.0,67,254,1,17,16,3.8,63.5,16.8,72,3.8,274,1,0
52,Will Fuller\FullWi01,HOU,26,wr,4,4,22,18,274,15.2,2,12,43,4.5,68.5,81.8%,12.5,1,0,0,0,0,0.0,0.0,0.3,19,14.4,274,2,0
53,Mike Evans\EvanMi00,TAM,27,wr,5,5,35,22,271,12.3,6,16,50,4.4,54.2,62.9%,7.7,,,,0,,,,,22,12.3,271,6,0
54,Allen Lazard\LazaAl00,GNB,25,wr,3,3,17,13,254,19.5,2,11,72,4.3,84.7,76.5%,14.9,2,17,0,1,19,8.5,5.7,0.7,15,18.1,271,2,0
55,Kyler Murray\MurrKy00,ARI,23,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,32,265,4,13,48,8.3,66.3,8.0,32,8.3,265,4,1
56,Todd Gurley\GurlTo01,ATL,26,rb,4,4,8,4,9,2.3,0,0,6,1.0,2.3,50.0%,1.1,65,254,4,15,16,3.9,63.5,16.3,69,3.8,263,4,1
57,Cole Beasley\BeasCo00,BUF,31,wr,4,2,24,18,260,14.4,1,12,29,4.5,65.0,75.0%,10.8,,,,0,,,,,18,14.4,260,1,0
58,Joshua Kelley\KellJo01,LAC,23,,4,0,7,7,84,12.0,0,3,35,1.8,21.0,100.0%,12.0,52,174,1,10,26,3.3,43.5,13.0,59,4.4,258,1,2
59,Raheem Mostert\MostRa00,SFO,28,rb,2,2,7,6,110,18.3,1,4,76,3.0,55.0,85.7%,15.7,23,148,1,4,80,6.4,74.0,11.5,29,8.9,258,2,0
60,Scott Miller\MillSc01,TAM,23,wr,5,4,21,15,250,16.7,1,9,47,3.0,50.0,71.4%,11.9,2,7,0,0,6,3.5,1.4,0.4,17,15.1,257,1,0
61,Darren Waller\WallDa01,LVR,28,te,4,4,40,29,247,8.5,1,16,22,7.3,61.8,72.5%,6.2,,,,0,,,,,29,8.5,247,1,1
62,Hunter Henry\HenrHu00,LAC,26,te,4,4,27,18,245,13.6,0,11,33,4.5,61.3,66.7%,9.1,,,,0,,,,,18,13.6,245,0,0
63,George Kittle\KittGe00,SFO,27,te,2,2,20,19,227,11.9,1,12,38,9.5,113.5,95.0%,11.4,2,17,0,1,9,8.5,8.5,1.0,21,11.6,244,1,0
64,Laviska Shenault Jr.\ShenLa00,JAX,22,wr,4,3,20,16,191,11.9,1,10,28,4.0,47.8,80.0%,9.6,9,53,0,3,14,5.9,13.3,2.3,25,9.8,244,1,0
65,Marquise Brown\BrowMa04,BAL,23,wr,4,3,26,16,242,15.1,0,11,47,4.0,60.5,61.5%,9.3,,,,0,,,,,16,15.1,242,0,0
66,Darius Slayton\SlayDa01,NYG,23,wr,4,3,29,15,236,15.7,2,12,41,3.8,59.0,51.7%,8.1,,,,0,,,,,15,15.7,236,2,1
67,Lamar Jackson\JackLa00,BAL,23,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,39,235,1,10,50,6.0,58.8,9.8,39,6.0,235,1,3
68,Jerry Jeudy\JeudJe00,DEN,21,wr,4,2,28,15,234,15.6,1,11,48,3.8,58.5,53.6%,8.4,,,,0,,,,,15,15.6,234,1,1
69,Malcolm Brown\BrowMa03,LAR,27,,4,0,12,8,50,6.3,0,2,18,2.0,12.5,66.7%,4.2,45,183,2,15,19,4.1,45.8,11.3,53,4.4,233,2,0
70,Rex Burkhead\BurkRe00,NWE,30,,4,0,17,12,101,8.4,1,6,19,3.0,25.3,70.6%,5.9,30,128,2,9,18,4.3,32.0,7.5,42,5.5,229,3,0
71,Latavius Murray\MurrLa00,NOR,30,rb,4,1,6,4,45,11.3,0,2,19,1.0,11.3,66.7%,7.5,44,184,2,14,11,4.2,46.0,11.0,48,4.8,229,2,0
72,Jamaal Williams\WillJa06,GNB,25,rb,4,1,13,13,119,9.2,0,5,29,3.3,29.8,100.0%,9.2,29,108,0,7,18,3.7,27.0,7.3,42,5.4,227,0,0
73,Christian McCaffrey\McCaCh01,CAR,24,rb,2,2,9,7,67,9.6,0,4,16,3.5,33.5,77.8%,7.4,41,156,4,9,15,3.8,78.0,20.5,48,4.6,223,4,0
74,Jamison Crowder\CrowJa00,NYJ,27,wr,2,2,23,14,219,15.6,1,10,69,7.0,109.5,60.9%,9.5,,,,0,,,,,14,15.6,219,1,0
75,Noah Fant\FantNo00,DEN,23,te,4,4,27,19,219,11.5,2,9,31,4.8,54.8,70.4%,8.1,,,,0,,,,,19,11.5,219,2,0
76,Dalton Schultz\SchuDa00,DAL,24,te,4,2,28,18,219,12.2,2,13,28,4.5,54.8,64.3%,7.8,,,,0,,,,,18,12.2,219,2,1
77,Randall Cobb\CobbRa00,HOU,30,wr,4,1,18,13,213,16.4,1,10,34,3.3,53.3,72.2%,11.8,,,,0,,,,,13,16.4,213,1,0
78,Julio Jones\JoneJu02,ATL,31,wr,3,3,20,15,213,14.2,0,8,44,5.0,71.0,75.0%,10.7,,,,0,,,,,15,14.2,213,0,0
79,Marquez Valdes-Scantling\ValdMa00,GNB,26,wr,4,2,25,12,210,17.5,1,9,45,3.0,52.5,48.0%,8.4,,,,0,,,,,12,17.5,210,1,0
80,Tim Patrick\PatrTi00,DEN,27,wr,4,4,21,16,209,13.1,2,10,40,4.0,52.3,76.2%,10.0,,,,0,,,,,16,13.1,209,2,0
81,Corey Davis\DaviCo03,TEN,25,wr,3,3,19,15,206,13.7,1,13,38,5.0,68.7,78.9%,10.8,,,,0,,,,,15,13.7,206,1,0
82,Russell Gage\GageRu00,ATL,24,wr,4,3,27,19,208,10.9,1,15,24,4.8,52.0,70.4%,7.7,1,-2,0,0,-2,-2.0,-0.5,0.3,20,10.3,206,1,0
