Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
299,AJ Dillon\DillAJ00,GNB,22,,4,0,0,0,0,,0,0,0,0.0,0.0,0.0%,,8,34,0,1,12,4.3,8.5,2.0,8,4.3,34,0,0
300,Adam Trautman\TrauAd00,NOR,23,te,4,1,3,3,34,11.3,0,2,17,0.8,8.5,100.0%,11.3,,,,0,,,,,3,11.3,34,0,0
301,Derek Carr\CarrDe02,LVR,29,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,9,33,0,3,10,3.7,8.3,2.3,9,3.7,33,0,5
302,Corey Clement\ClemCo00,PHI,26,,4,0,2,2,2,1.0,0,1,8,0.5,0.5,100.0%,1.0,11,30,0,1,7,2.7,7.5,2.8,13,2.5,32,0,0
303,DaeSean Hamilton\HamiDa01,DEN,25,wr,4,1,9,3,32,10.7,0,2,18,0.8,8.0,33.3%,3.6,,,,0,,,,,3,10.7,32,0,0
304,Darwin Thompson\ThomDa06,KAN,24,,4,0,3,0,0,,0,0,0,0.0,0.0,0.0%,0.0,6,32,0,2,14,5.3,8.0,1.5,6,5.3,32,0,1
305,Seth Roberts\RobeSe00,CAR,29,,4,0,6,4,31,7.8,0,2,12,1.0,7.8,66.7%,5.2,,,,0,,,,,4,7.8,31,0,0
306,Ke'Shawn Vaughn\VaugKe00,TAM,23,,3,0,6,4,27,6.8,1,2,13,1.3,9.0,66.7%,4.5,3,4,0,0,3,1.3,1.3,1.0,7,4.4,31,1,1
307,Demetrius Harris\HarrDe03,CHI,29,te,5,3,8,5,30,6.0,0,2,9,1.0,6.0,62.5%,3.8,,,,0,,,,,5,6.0,30,0,0
308,Dwayne Haskins\HaskDw00,WAS,23,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,13,30,1,3,19,2.3,7.5,3.3,13,2.3,30,1,4
309,Ian Thomas\ThomIa00,CAR,24,te,4,3,9,5,30,6.0,1,4,11,1.3,7.5,55.6%,3.3,,,,0,,,,,5,6.0,30,1,0
310,Jared Goff\GoffJa00,LAR,26,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,16,29,1,4,10,1.8,7.3,4.0,16,1.8,29,1,0
311,Chris Manhertz\ManhCh00,CAR,28,te,4,3,3,3,29,9.7,0,0,17,0.8,7.3,100.0%,9.7,,,,0,,,,,3,9.7,29,0,0
312,Breshad Perriman\PerrBr02,NYJ,27,wr,2,2,7,5,29,5.8,0,2,13,2.5,14.5,71.4%,4.1,,,,0,,,,,5,5.8,29,0,0
313,Nick Boyle\BoylNi00,BAL,27,te,4,4,6,5,28,5.6,1,3,11,1.3,7.0,83.3%,4.7,,,,0,,,,,5,5.6,28,1,0
314,Jeff Driskel\DrisJe00,DEN,27,qb,3,1,0,0,0,,0,0,0,0.0,0.0,0.0%,,6,28,0,3,9,4.7,9.3,2.0,6,4.7,28,0,0
315,Josh Malone\MaloJo00,NYJ,24,,4,0,6,4,16,4.0,0,1,13,1.0,4.0,66.7%,2.7,1,12,0,1,12,12.0,3.0,0.3,5,5.6,28,0,0
316,Marcus Johnson\JohnMa07,IND,26,,1,0,1,1,27,27.0,0,1,27,1.0,27.0,100.0%,27.0,,,,0,,,,,1,27.0,27,0,0
317,Brandon Powell\PoweBr00,ATL,24,,4,0,4,3,27,9.0,0,3,13,0.8,6.8,75.0%,6.8,,,,0,,,,,3,9.0,27,0,0
318,Jalen Hurts\HurtJa00,PHI,22,,3,0,0,0,0,,0,0,0,0.0,0.0,0.0%,,5,26,0,1,14,5.2,8.7,1.7,5,5.2,26,0,2
319,Jamal Agnew\AgneJa00,DET,25,,4,0,6,4,21,5.3,0,1,20,1.0,5.3,66.7%,3.5,2,4,0,1,2,2.0,1.0,0.5,6,4.2,25,0,0
320,Cethan Carter\CartCe00,CIN,25,te,4,2,2,2,25,12.5,0,1,24,0.5,6.3,100.0%,12.5,,,,0,,,,,2,12.5,25,0,0
321,Antonio Gandy-Golden\GandAn00,WAS,22,,3,0,3,1,3,3.0,0,0,3,0.3,1.0,33.3%,1.0,1,22,0,1,22,22.0,7.3,0.3,2,12.5,25,0,0
322,Justin Jackson\JackJu01,LAC,25,,2,0,2,2,12,6.0,0,0,9,1.0,6.0,100.0%,6.0,8,13,0,0,3,1.6,6.5,4.0,10,2.5,25,0,0
323,Aaron Rodgers\RodgAa00,GNB,37,qb,4,4,1,1,-6,-6.0,0,0,-6,0.3,-1.5,100.0%,-6.0,6,31,0,2,13,5.2,7.8,1.5,7,3.6,25,0,0
324,Darrell Daniels\DaniDa02,ARI,26,te,4,3,3,2,24,12.0,0,1,15,0.5,6.0,66.7%,8.0,,,,0,,,,,2,12.0,24,0,0
325,KeeSean Johnson\JohnKe07,ARI,24,,1,0,7,2,24,12.0,0,1,14,2.0,24.0,28.6%,3.4,,,,0,,,,,2,12.0,24,0,0
326,Matt Ryan\RyanMa00,ATL,35,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,8,24,0,2,6,3.0,6.0,2.0,8,3.0,24,0,0
327,DeeJay Dallas\DallDe00,SEA,22,,2,0,2,2,15,7.5,0,1,9,1.0,7.5,100.0%,7.5,2,8,0,0,6,4.0,4.0,1.0,4,5.8,23,0,0
328,Daurice Fountain\FounDa00,IND,25,,3,0,3,2,23,11.5,0,2,12,0.7,7.7,66.7%,7.7,,,,0,,,,,2,11.5,23,0,0
329,Josh Hill\HillJo02,NOR,30,te,4,2,4,2,23,11.5,0,2,16,0.5,5.8,50.0%,5.8,,,,0,,,,,2,11.5,23,0,1
330,Jason Witten\WittJa00,LVR,38,te,4,4,4,4,23,5.8,1,3,15,1.0,5.8,100.0%,5.8,,,,0,,,,,4,5.8,23,1,0
331,Josh Adams\AdamJo03,NYJ,24,,2,0,2,2,14,7.0,0,0,7,1.0,7.0,100.0%,7.0,3,8,1,2,6,2.7,4.0,1.5,5,4.4,22,1,0
332,Marcedes Lewis\LewiMa00,GNB,36,te,3,3,3,2,22,11.0,1,1,18,0.7,7.3,66.7%,7.3,,,,0,,,,,2,11.0,22,1,0
333,Jaydon Mickens\MickJa01,TAM,26,,5,0,2,2,22,11.0,0,1,11,0.4,4.4,100.0%,11.0,,,,0,,,,,2,11.0,22,0,0
334,Dontrell Hilliard\HillDo00,CLE,25,,1,0,1,1,2,2.0,0,0,2,1.0,2.0,100.0%,2.0,5,19,0,2,10,3.8,19.0,5.0,6,3.5,21,0,0
335,Ty Montgomery\MontTy01,NOR,27,,2,0,3,2,25,12.5,0,1,17,1.0,12.5,66.7%,8.3,1,-4,0,0,-4,-4.0,-2.0,0.5,3,7.0,21,0,0
336,Darrius Shepherd\ShepDa00,GNB,25,,2,0,4,2,21,10.5,0,1,19,1.0,10.5,50.0%,5.3,,,,0,,,,,2,10.5,21,0,0
337,Isaiah Zuber\ZubeIs00,NWE,23,,2,0,0,0,0,,0,0,0,0.0,0.0,0.0%,,2,21,0,2,13,10.5,10.5,1.0,2,10.5,21,0,0
338,Malik Taylor\TaylMa01,GNB,25,wr,4,1,1,1,20,20.0,0,1,20,0.3,5.0,100.0%,20.0,,,,0,,,,,1,20.0,20,0,0
339,Deontay Burnett\BurnDe00,PHI,23,,2,0,4,3,19,6.3,0,1,10,1.5,9.5,75.0%,4.8,,,,0,,,,,3,6.3,19,0,0
340,Donald Parham\ParhDo00,LAC,23,,1,0,1,1,19,19.0,1,1,19,1.0,19.0,100.0%,19.0,,,,0,,,,,1,19.0,19,1,0
341,Jamycal Hasty\HastJa02,SFO,24,,2,0,1,1,9,9.0,0,0,9,0.5,4.5,100.0%,9.0,2,9,0,0,6,4.5,4.5,1.0,3,6.0,18,0,0
342,Javon Wims\WimsJa00,CHI,26,wr,5,1,5,3,18,6.0,1,3,12,0.6,3.6,60.0%,3.6,,,,0,,,,,3,6.0,18,1,0
343,T.J. Yeldon\YeldT.00,BUF,27,,2,0,1,0,0,,0,0,0,0.0,0.0,0.0%,0.0,3,18,0,1,9,6.0,9.0,1.5,3,6.0,18,0,0
344,Alex Armah\ArmaAl00,CAR,26,fb,4,1,1,1,14,14.0,0,1,14,0.3,3.5,100.0%,14.0,3,3,0,2,2,1.0,0.8,0.8,4,4.3,17,0,0
345,C.J. Ham\HamxC.00,MIN,27,fb,4,3,2,1,11,11.0,0,1,11,0.3,2.8,50.0%,5.5,2,6,0,1,4,3.0,1.5,0.5,3,5.7,17,0,0
346,Collin Johnson\JohnCo01,JAX,23,,4,0,6,2,17,8.5,0,1,14,0.5,4.3,33.3%,2.8,,,,0,,,,,2,8.5,17,0,0
347,MyCole Pruitt\PruiMy00,TEN,28,te,3,1,3,3,17,5.7,1,2,10,1.0,5.7,100.0%,5.7,,,,0,,,,,3,5.7,17,1,0
348,John Ross\RossJo00,CIN,26,wr,2,1,7,2,17,8.5,0,1,15,1.0,8.5,28.6%,2.4,,,,0,,,,,2,8.5,17,0,0
349,Cam Sims\SimsCa00,WAS,24,,4,0,2,2,17,8.5,0,0,9,0.5,4.3,100.0%,8.5,,,,0,,,,,2,8.5,17,0,0
350,Michael Thomas\ThomMi05,NOR,27,wr,1,1,5,3,17,5.7,0,1,8,3.0,17.0,60.0%,3.4,,,,0,,,,,3,5.7,17,0,0
351,Trey Burton\BurtTr01,IND,29,,1,0,5,2,16,8.0,0,2,8,2.0,16.0,40.0%,3.2,,,,0,,,,,2,8.0,16,0,0
352,Marquez Callaway\CallMa01,NOR,22,,3,0,1,1,16,16.0,0,1,16,0.3,5.3,100.0%,16.0,,,,0,,,,,1,16.0,16,0,0
353,Alex Erickson\EricAl01,CIN,28,,4,0,1,1,9,9.0,0,0,9,0.3,2.3,100.0%,9.0,1,7,0,0,7,7.0,1.8,0.3,2,8.0,16,0,0
354,K.J. Hill\HillKJ00,LAC,23,,4,0,4,1,15,15.0,0,1,15,0.3,3.8,25.0%,3.8,,,,0,,,,,1,15.0,15,0,0
355,Baker Mayfield\MayfBa00,CLE,25,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,9,15,0,1,8,1.7,3.8,2.3,9,1.7,15,0,0
356,Irv Smith Jr.\SmitIr01,MIN,22,te,4,1,6,2,14,7.0,0,1,11,0.5,3.5,33.3%,2.3,,,,0,,,,,2,7.0,14,0,0
357,Andy Janovich\JanoAn00,CLE,27,fb,4,1,2,2,13,6.5,0,1,13,0.5,3.3,100.0%,6.5,,,,0,,,,,2,6.5,13,0,0
358,Theo Riddick\RiddTh00,LVR,29,,1,0,0,0,0,,0,0,0,0.0,0.0,0.0%,,2,13,0,1,11,6.5,13.0,2.0,2,6.5,13,0,0
359,Levine Toilolo\ToilLe00,NYG,29,te,4,1,1,1,13,13.0,0,1,13,0.3,3.3,100.0%,13.0,,,,0,,,,,1,13.0,13,0,0
360,Josiah Deguara\DeguJo00,GNB,23,te,2,1,2,1,12,12.0,0,1,12,0.5,6.0,50.0%,6.0,,,,0,,,,,1,12.0,12,0,0
361,Blake Jarwin\JarwBl00,DAL,26,te,1,1,1,1,12,12.0,0,1,12,1.0,12.0,100.0%,12.0,,,,0,,,,,1,12.0,12,0,0
362,Cole Kmet\KmetCo00,CHI,21,te,5,3,3,1,12,12.0,0,1,12,0.2,2.4,33.3%,4.0,,,,0,,,,,1,12.0,12,0,0
363,Jeremy McNichols\McNiJe00,TEN,25,,3,0,2,1,5,5.0,0,0,5,0.3,1.7,50.0%,2.5,2,7,0,0,4,3.5,2.3,0.7,3,4.0,12,0,0
364,Keke Coutee\CoutKe00,HOU,23,,1,0,2,2,11,5.5,0,1,6,2.0,11.0,100.0%,5.5,,,,0,,,,,2,5.5,11,0,1
365,Jordan Howard\HowaJo00,MIA,26,rb,4,2,1,1,-3,-3.0,0,0,-3,0.3,-0.8,100.0%,-3.0,18,14,3,4,4,0.8,3.5,4.5,19,0.6,11,3,1
366,Gunner Olszewski\OlszGu00,NWE,24,,1,0,1,1,11,11.0,0,1,11,1.0,11.0,100.0%,11.0,,,,0,,,,,1,11.0,11,0,0
367,Virgil Green\GreeVi00,LAC,32,te,4,2,3,1,10,10.0,0,0,10,0.3,2.5,33.3%,3.3,,,,0,,,,,1,10.0,10,0,0
368,Ryan Griffin\GrifRy00,NYJ,30,,4,0,5,3,10,3.3,0,0,4,0.8,2.5,60.0%,2.0,,,,0,,,,,3,3.3,10,0,0
369,Jacob Hollister\HollJa03,SEA,27,,4,0,3,2,10,5.0,1,2,9,0.5,2.5,66.7%,3.3,,,,0,,,,,2,5.0,10,1,0
370,Keith Smith\SmitKe03,ATL,28,fb,4,3,4,3,8,2.7,0,0,4,0.8,2.0,75.0%,2.0,1,2,0,1,2,2.0,0.5,0.3,4,2.5,10,0,0
371,Darrynton Evans\EvanDa02,TEN,22,,1,0,0,0,0,,0,0,0,0.0,0.0,0.0%,,3,9,0,0,4,3.0,9.0,3.0,3,3.0,9,0,0
372,Jimmy Garoppolo\GaroJi00,SFO,29,qb,2,2,0,0,0,,0,0,0,0.0,0.0,0.0%,,1,9,0,0,9,9.0,4.5,0.5,1,9.0,9,0,0
373,Rashard Higgins\HiggRa00,CLE,26,,2,0,1,1,9,9.0,0,0,9,0.5,4.5,100.0%,9.0,,,,0,,,,,1,9.0,9,0,0
374,Tanner Hudson\HudsTa00,TAM,26,,4,0,4,1,9,9.0,0,1,9,0.3,2.3,25.0%,2.3,,,,0,,,,,1,9.0,9,0,0
375,Patrick Laird\LairPa00,MIA,25,,4,0,2,2,9,4.5,0,0,6,0.5,2.3,100.0%,4.5,,,,0,,,,,2,4.5,9,0,0
376,Gabe Nabers\NabeGa00,LAC,23,rb,4,1,1,1,5,5.0,0,0,5,0.3,1.3,100.0%,5.0,1,4,0,0,4,4.0,1.0,0.3,2,4.5,9,0,0
377,Senorise Perry\PerrSe00,TEN,29,,2,0,0,0,0,,0,0,0,0.0,0.0,0.0%,,2,9,0,1,6,4.5,4.5,1.0,2,4.5,9,0,0
378,Patrick Ricard\RicaPa00,BAL,26,fb,4,2,2,2,10,5.0,1,2,9,0.5,2.5,100.0%,5.0,1,-1,0,0,-1,-1.0,-0.3,0.3,3,3.0,9,1,1
379,Mohamed Sanu\SanuMo00,SFO,31,,3,0,1,1,9,9.0,0,1,9,0.3,3.0,100.0%,9.0,,,,0,,,,,1,9.0,9,0,0
380,DeAndre Carter\CartDe02,HOU,27,,4,0,2,1,8,8.0,0,0,8,0.3,2.0,50.0%,4.0,,,,0,,,,,1,8.0,8,0,1
381,Brian Hoyer\HoyeBr00,NWE,35,qb,1,1,0,0,0,,0,0,0,0.0,0.0,0.0%,,1,8,0,1,8,8.0,8.0,1.0,1,8.0,8,0,1
382,Joe Reed\ReedJo03,LAC,22,,3,0,0,0,0,,0,0,0,0.0,0.0,0.0%,,1,8,0,0,8,8.0,2.7,0.3,1,8.0,8,0,0
383,Jaylen Samuels\SamuJa00,PIT,24,,3,0,3,2,5,2.5,0,1,4,0.7,1.7,66.7%,1.7,2,3,0,0,2,1.5,1.0,0.7,4,2.0,8,0,0
384,Chad Beebe\BeebCh00,MIN,26,,2,0,1,1,7,7.0,0,0,7,0.5,3.5,100.0%,7.0,,,,0,,,,,1,7.0,7,0,0
385,Michael Burton\BurtMi00,NOR,28,fb,4,1,1,1,3,3.0,0,0,3,0.3,0.8,100.0%,3.0,1,4,0,1,4,4.0,1.0,0.3,2,3.5,7,0,0
386,Tyrie Cleveland\ClevTy00,DEN,23,,3,0,1,1,7,7.0,0,0,7,0.3,2.3,100.0%,7.0,,,,0,,,,,1,7.0,7,0,0
387,Jakob Johnson\JohnJa12,NWE,26,fb,4,3,2,2,7,3.5,1,1,6,0.5,1.8,100.0%,3.5,,,,0,,,,,2,3.5,7,1,0
388,Jakobi Meyers\MeyeJa01,NWE,24,,3,0,1,1,7,7.0,0,1,7,0.3,2.3,100.0%,7.0,,,,0,,,,,1,7.0,7,0,0
389,Anthony Sherman\SherAn00,KAN,32,,4,0,1,1,5,5.0,1,1,5,0.3,1.3,100.0%,5.0,2,2,0,1,2,1.0,0.5,0.5,3,2.3,7,1,0
390,Diontae Spencer\SpenDi00,DEN,28,,4,0,1,1,7,7.0,0,0,7,0.3,1.8,100.0%,7.0,,,,0,,,,,1,7.0,7,0,0
391,Tyrod Taylor\TaylTy00,LAC,31,qb,1,1,0,0,0,,0,0,0,0.0,0.0,0.0%,,6,7,0,1,4,1.2,7.0,6.0,6,1.2,7,0,0
392,Tom Brady\BradTo00,TAM,43,qb,5,5,0,0,0,,0,0,0,0.0,0.0,0.0%,,15,6,1,3,4,0.4,1.2,3.0,15,0.4,6,1,4
393,Ashton Dulin\DuliAs00,IND,23,,4,0,2,1,6,6.0,0,0,6,0.3,1.5,50.0%,3.0,,,,0,,,,,1,6.0,6,0,0
394,Cullen Gillaspia\GillCu00,HOU,25,,2,0,1,1,6,6.0,0,0,6,0.5,3.0,100.0%,6.0,,,,0,,,,,1,6.0,6,0,0
395,Luke Stocker\StocLu00,ATL,32,te,4,2,2,1,6,6.0,0,0,6,0.3,1.5,50.0%,3.0,,,,0,,,,,1,6.0,6,0,0
396,Khari Blasingame\BlasKh00,TEN,24,fb,3,1,1,1,5,5.0,0,0,5,0.3,1.7,100.0%,5.0,,,,0,,,,,1,5.0,5,0,0
397,Jake Butt\ButtJa00,DEN,25,,4,0,4,2,5,2.5,0,0,5,0.5,1.3,50.0%,1.3,,,,0,,,,,2,2.5,5,0,0
398,Drew Lock\LockDr00,DEN,24,qb,2,2,0,0,0,,0,0,0,0.0,0.0,0.0%,,3,5,0,2,3,1.7,2.5,1.5,3,1.7,5,0,3
399,Johnny Mundt\MundJo00,LAR,26,,4,0,1,1,5,5.0,0,0,5,0.3,1.3,100.0%,5.0,,,,0,,,,,1,5.0,5,0,0
400,Deon Yelder\YeldDe00,KAN,25,,2,0,1,1,5,5.0,0,0,5,0.5,2.5,100.0%,5.0,,,,0,,,,,1,5.0,5,0,0
401,Lynn Bowden Jr.\BowdLy00,MIA,23,,2,0,1,1,-1,-1.0,0,0,-1,0.5,-0.5,100.0%,-1.0,1,5,0,0,5,5.0,2.5,0.5,2,2.0,4,0,0
402,Jason Cabinda\CabiJa00,DET,24,mlb,4,1,1,1,4,4.0,0,0,4,0.3,1.0,100.0%,4.0,,,,0,,,,,1,4.0,4,0,0
403,Bobby Massie\MassBo00,CHI,31,t,5,5,1,1,4,4.0,0,1,4,0.2,0.8,100.0%,4.0,,,,0,,,,,1,4.0,4,0,0
404,Ben Roethlisberger\RoetBe00,PIT,38,qb,3,3,0,0,0,,0,0,0,0.0,0.0,0.0%,,11,4,0,1,11,0.4,1.3,3.7,11,0.4,4,0,2
405,Adam Shaheen\ShahAd00,MIA,26,te,4,1,3,1,4,4.0,0,0,4,0.3,1.0,33.3%,1.3,,,,0,,,,,1,4.0,4,0,0
406,Dede Westbrook\WestDe00,JAX,27,,1,0,1,1,4,4.0,0,0,4,1.0,4.0,100.0%,4.0,,,,0,,,,,1,4.0,4,0,0
407,Chandler Cox\CoxxCh01,MIA,24,fb,4,2,1,1,3,3.0,0,1,3,0.3,0.8,100.0%,3.0,,,,0,,,,,1,3.0,3,0,0
408,Jojo Natson\NatsJo00,CLE,26,,3,0,0,0,0,,0,0,0,0.0,0.0,0.0%,,1,3,0,0,3,3.0,1.0,0.3,1,3.0,3,0,0
409,Andre Roberts\RobeAn00,BUF,32,,4,0,1,1,6,6.0,0,0,6,0.3,1.5,100.0%,6.0,1,-3,0,0,-3,-3.0,-0.8,0.3,2,1.5,3,0,0
410,Jarrett Stidham\StidJa00,NWE,24,,1,0,0,0,0,,0,0,0,0.0,0.0,0.0%,,2,3,0,1,2,1.5,3.0,2.0,2,1.5,3,0,0
411,Chris Streveler\StreCh00,ARI,25,,3,0,0,0,0,,0,0,0,0.0,0.0,0.0%,,1,3,0,1,3,3.0,1.0,0.3,1,3.0,3,0,0
412,Jordan Thomas\ThomJo05,ARI,24,,3,0,1,1,3,3.0,1,1,3,0.3,1.0,100.0%,3.0,,,,0,,,,,1,3.0,3,1,0
413,Darian Thompson\ThomDa05,DAL,27,fs,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,1,3,0,0,3,3.0,0.8,0.3,1,3.0,3,0,0
414,Marcus Baugh\BaugMa02,WAS,26,te,4,1,1,1,2,2.0,0,0,2,0.3,0.5,100.0%,2.0,,,,0,,,,,1,2.0,2,0,0
415,Eric Fisher\FishEr00,KAN,29,t,4,4,1,1,2,2.0,1,1,2,0.3,0.5,100.0%,2.0,,,,0,,,,,1,2.0,2,1,0
416,Robert Griffin III\GrifRo01,BAL,30,,2,0,0,0,0,,0,0,0,0.0,0.0,0.0%,,4,2,0,0,5,0.5,1.0,2.0,4,0.5,2,0,0
417,Bruce Miller\MillBr02,JAX,33,fb,4,1,2,1,2,2.0,0,1,2,0.3,0.5,50.0%,1.0,,,,0,,,,,1,2.0,2,0,0
418,Ryan Nall\NallRy00,CHI,25,,5,0,1,1,2,2.0,0,0,2,0.2,0.4,100.0%,2.0,,,,0,,,,,1,2.0,2,0,0
419,Sharrod Neasman\NeasSh00,ATL,29,,4,0,0,0,0,,0,0,0,0.0,0.0,0.0%,,1,2,0,0,2,2.0,0.5,0.3,1,2.0,2,0,1
420,Philip Rivers\RivePh00,IND,39,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,8,2,0,0,3,0.3,0.5,2.0,8,0.3,2,0,1
421,Jeremy Chinn\ChinJe00,CAR,22,fs,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,1,1,0,0,1,1.0,0.3,0.3,1,1.0,1,0,0
422,Reggie Gilliam\GillRe00,BUF,23,,4,0,1,1,1,1.0,1,1,1,0.3,0.3,100.0%,1.0,,,,0,,,,,1,1.0,1,1,0
423,Jason Huntley\HuntJa01,PHI,22,,1,0,0,0,0,,0,0,0,0.0,0.0,0.0%,,1,1,0,0,1,1.0,1.0,1.0,1,1.0,1,0,0
424,C.J. Prosise\ProsC.00,HOU,26,,3,0,0,0,0,,0,0,0,0.0,0.0,0.0%,,1,1,0,0,1,1.0,0.3,0.3,1,1.0,1,0,0
425,Lee Smith\SmitLe00,BUF,33,,1,0,1,1,1,1.0,1,1,1,1.0,1.0,100.0%,1.0,,,,0,,,,,1,1.0,1,1,0
426,Nick Vannett\VannNi00,DEN,27,te,3,1,6,2,1,0.5,0,0,7,0.7,0.3,33.3%,0.2,,,,0,,,,,2,0.5,1,0,0
