,,,,,,20TH,50TH,80TH
PLAYER,POS,TEAM,OPP,SALARY,OWN%,FLOOR,MIDDLE,CEILING
D.J. Moore,WR,CAR,ARI,"$5,600",15.93%,8.16,17.41,28.43
Drew Brees,QB,NO,DET,"$5,800",2.96%,12.25,19.49,28.35
Cooper Kupp,WR,LA,NYG,"$6,700",12.38%,7.79,17.53,28.32
Baker Mayfield,QB,CLE,DAL,"$5,800",2.04%,10.27,18.67,28.2
David Johnson,RB,HOU,MIN,"$5,600",11.05%,5.38,16.13,28.15
Ronald Jones,RB,TB,LAC,"$4,700",4.79%,5.38,15.74,28.14
Derek Carr,QB,LV,BUF,"$5,300",0.98%,10.45,18.08,28.07
Mike Evans,WR,TB,LAC,"$6,400",7.63%,7.84,17.4,27.83
Carson Wentz,QB,PHI,SF,"$5,600",%,8.61,16.9,27.4
Nick Chubb,RB,CLE,DAL,"$7,000",7.71%,4.39,14.77,27.34
Chris Carson,RB,SEA,MIA,"$6,300",8.62%,4.29,14.64,27.33
Robert Woods,WR,LA,NYG,"$6,300",10.27%,6.24,16.38,27.26
Kareem Hunt,RB,CLE,DAL,"$6,200",2.68%,5.2,15.07,26.79
Allen Robinson,WR,CHI,IND,"$6,700",5.58%,7.83,16.54,26.77
Adam Thielen,WR,MIN,HOU,"$6,600",8.19%,7.25,16.36,26.75
Keenan Allen,WR,LAC,TB,"$6,500",6.98%,8.35,16.77,26.61
Stefon Diggs,WR,BUF,LV,"$6,800",12.71%,6.92,15.42,26.43
Nick Mullens,QB,SF,PHI,"$5,200",%,8.97,16.21,26.34
David Montgomery,RB,CHI,IND,"$5,500",1.96%,4.96,14.26,26.2
Odell Beckham Jr.,WR,CLE,DAL,"$5,800",10.62%,6.86,15.59,26.11
Julio Jones,WR,ATL,GB,"$7,100",%,7.39,15.58,25.95
Terry McLaurin,WR,WAS,BAL,"$5,800",5.65%,7.27,15.35,25.94
Myles Gaskin,RB,MIA,SEA,"$5,000",8.61%,4.76,14.04,25.79
Tyler Boyd,WR,CIN,JAX,"$6,100",6.01%,7.21,15.25,25.73
Jerick McKinnon,RB,SF,PHI,"$5,700",%,4.02,13.39,25.67
Sam Darnold,QB,NYJ,DEN,"$5,300",%,8.33,15.98,25.64
Kenny Golladay,WR,DET,NO,"$6,000",9.19%,6.52,15.39,25.58
Devin Singletary,RB,BUF,LV,"$5,900",4.95%,5.01,13.49,25.18
Justin Herbert,QB,LAC,TB,"$5,800",0.35%,7.28,15.14,24.85
Nick Foles,QB,CHI,IND,"$5,700",0.41%,7.95,15.22,24.43
DeVante Parker,WR,MIA,SEA,"$5,700",13.65%,6.4,14.62,24.2
Darren Waller,TE,LV,BUF,"$5,200",12.72%,7.24,15.32,24.18
Robby Anderson,WR,CAR,ARI,"$5,400",5%,6.35,14.12,24.04
Brett Rypien,QB,DEN,NYJ,"$5,500",%,6.93,14.1,23.68
Philip Rivers,QB,IND,CHI,"$5,500",0.44%,8.55,15.27,23.59
Will Fuller,WR,HOU,MIN,"$5,900",9.95%,5.31,13.34,23.55
Marvin Jones,WR,DET,NO,"$4,900",3.89%,5.35,13.24,23.39
Dwayne Haskins,QB,WAS,BAL,"$5,000",0.29%,6.47,14.1,23.36
George Kittle,TE,SF,PHI,"$6,300",%,6.03,13.67,23.08
Jamison Crowder,WR,NYJ,DEN,"$5,200",%,5.85,13.33,23.04
Mark Andrews,TE,BAL,WAS,"$6,000",5.30%,5.43,13.74,22.9
Marquise Brown,WR,BAL,WAS,"$6,300",7.95%,5.03,12.85,22.8
Jarvis Landry,WR,CLE,DAL,"$5,100",8.63%,5.55,13.01,22.7
Justin Jefferson,WR,MIN,HOU,"$5,200",5.39%,5.56,13.09,22.69
Zach Ertz,TE,PHI,SF,"$5,300",%,6.42,13.74,22.67
Todd Gurley,RB,ATL,GB,"$5,500",%,3.34,12.35,22.6
Hunter Renfrow,WR,LV,BUF,"$4,600",5.32%,5.49,12.85,22.51
CeeDee Lamb,WR,DAL,CLE,"$5,400",9.27%,5.15,12.64,22.41
T.Y. Hilton,WR,IND,CHI,"$5,300",3.17%,5.37,12.9,22.4
Michael Gallup,WR,DAL,CLE,"$6,200",5.99%,5.12,12.46,22.01
TreQuan Smith,WR,NO,DET,"$5,000",4.14%,5.09,12.45,21.89
Preston Williams,WR,MIA,SEA,"$4,500",4.89%,4.93,12.09,21.6
A.J. Green,WR,CIN,JAX,"$5,500",4.24%,4.95,12.21,21.57
D.J. Chark,WR,JAX,CIN,"$6,000",4.14%,4.76,12.27,21.31
Darius Slayton,WR,NYG,LA,"$5,000",3.60%,5.21,12.27,21.08
Adrian Peterson,RB,DET,NO,"$4,700",2.80%,2.4,10.29,20.89
Emmanuel Sanders,WR,NO,DET,"$4,800",4.27%,4.43,11.53,20.63
Mark Ingram,RB,BAL,WAS,"$5,700",5.70%,2.11,10.13,20.61
Antonio Gibson,RB,WAS,BAL,"$4,500",1.94%,2.62,10.21,20.61
Brandin Cooks,WR,HOU,MIN,"$4,500",9.29%,4.85,11.79,20.38
Golden Tate,WR,NYG,LA,"$4,600",2.46%,4.89,11.41,20.31
Randall Cobb,WR,HOU,MIN,"$4,800",3.84%,4.18,11.03,20.23
Greg Ward Jr.,WR,PHI,SF,"$3,900",%,4.69,11.27,20.09
Jerry Jeudy,WR,DEN,NYJ,"$5,300",%,4.73,11.45,20.06
Mike Gesicki,TE,MIA,SEA,"$5,100",4.77%,4.97,11.75,20.06
Jeff Wilson,RB,SF,PHI,"$4,900",%,1.71,10.17,20.04
Curtis Samuel,WR,CAR,ARI,"$4,800",1.55%,2.99,10.43,19.85
Deebo Samuel,WR,SF,PHI,"$5,300",%,3.84,11.07,19.82
Noah Fant,TE,DEN,NYJ,"$5,800",%,4.67,11.59,19.64
Latavius Murray,RB,NO,DET,"$4,900",4.29%,2.16,9.59,19.61
Hunter Henry,TE,LAC,TB,"$4,600",6.83%,4.66,11.25,19.55
Nyheim Hines,RB,IND,CHI,"$4,700",1.38%,2.73,9.95,19.53
Laviska Shenault Jr.,WR,JAX,CIN,"$4,400",%,2.34,9.95,19.35
Brandon Aiyuk,WR,SF,PHI,"$5,000",%,2.85,10.15,19.33
John Brown,WR,BUF,LV,"$5,100",4.29%,3.62,10.49,19.27
Marquez Valdes-Scantling,WR,GB,ATL,"$4,400",%,3.45,10.29,19.24
Cole Beasley,WR,BUF,LV,"$4,700",3.23%,4.05,10.47,18.83
Russell Gage,WR,ATL,GB,"$5,100",%,3.89,10.35,18.75
Evan Engram,TE,NYG,LA,"$4,400",4.37%,4.75,11.01,18.61
Frank Gore,RB,NYJ,DEN,"$4,400",%,2.97,9.91,18.55
Tee Higgins,WR,CIN,JAX,"$4,500",4.71%,3.71,10.15,18.32
Keelan Cole,WR,JAX,CIN,"$4,500",1.91%,3.59,9.79,18.02
Tyler Higbee,TE,LA,NYG,"$5,700",4.44%,3.83,10.31,17.99
Devonta Freeman,RB,NYG,LA,"$4,800",1.19%,1.79,8.5,17.92
Danny Amendola,WR,DET,NO,"$4,000",2.23%,4.1,9.59,17.73
T.J. Hockenson,TE,DET,NO,"$4,800",10.60%,4.23,10.49,17.66
Zach Pascal,WR,IND,CHI,"$4,400",2.16%,3.25,9.41,17.49
Alexander Mattison,RB,MIN,HOU,"$4,000",1.79%,1.02,7.83,17.41
LeSean McCoy,RB,TB,LAC,"$4,000",1.46%,2.21,8.9,17.27
Logan Thomas,TE,WAS,BAL,"$3,500",9.75%,4.05,9.79,17.21
Anthony Miller,WR,CHI,IND,"$4,900",1.47%,2.86,8.98,17.03
Scott Miller,WR,TB,LAC,"$4,100",%,3.28,9.33,17.02
Joshua Kelley,RB,LAC,TB,"$5,100",1.10%,1.71,8.16,16.98
Hayden Hurst,TE,ATL,GB,"$4,700",%,3.76,9.69,16.82
Zack Moss,RB,BUF,LV,"$4,300",4.21%,0.87,7.61,16.7
Austin Hooper,TE,CLE,DAL,"$4,000",3.15%,3.71,9.71,16.67
DAndre Swift,RB,DET,NO,"$4,300",1.83%,1.97,7.99,16.42
K.J. Hamler,WR,DEN,NYJ,"$3,800",%,3.05,9.17,16.41
Dontrelle Inman,WR,WAS,BAL,"$3,700",1.85%,2.42,8.07,16.02
Chris Herndon,TE,NYJ,DEN,"$3,500",%,3.32,8.98,15.97
Chase Edmonds,RB,ARI,CAR,"$4,200",3.49%,1.48,7.49,15.76
Miles Boykin,WR,BAL,WAS,"$4,000",2.16%,2.11,7.89,15.68
J.D. McKissic,RB,WAS,BAL,"$4,000",1.19%,1.58,7.41,15.26
Isaiah Ford,WR,MIA,SEA,"$3,700",2.12%,2.59,8.01,15.15
Chris Thompson,RB,JAX,CIN,"$4,100",1.24%,1.61,6.82,15.03
Dalton Schultz,TE,DAL,CLE,"$4,300",4.99%,2.81,8.3,15.02
Larry Fitzgerald,WR,ARI,CAR,"$4,400",1.96%,2.49,7.85,14.85
Andy Isabella,WR,ARI,CAR,"$4,500",1.62%,2.03,7.89,14.85
O.J. Howard,TE,TB,LAC,"$3,300",2.33%,2.64,8.18,14.77
John Hightower,WR,PHI,SF,"$3,000",%,2.34,7.73,14.76
Malcolm Brown,RB,LA,NYG,"$4,700",4.56%,0.93,7.17,14.65
Jamaal Williams,RB,GB,ATL,"$4,000",%,0.75,6.86,14.47
Rob Gronkowski,TE,TB,LAC,"$3,600",2.96%,2.51,8.03,14.47
J.K. Dobbins,RB,BAL,WAS,"$4,800",4.14%,0.73,7.17,14.37
Dion Lewis,RB,NYG,LA,"$4,400",0.95%,1.1,6.07,14.33
Braxton Berrios,WR,NYJ,DEN,"$4,600",%,2.03,7.31,14.21
Tim Patrick,WR,DEN,NYJ,"$3,700",%,2.05,7.39,14.21
Deonte Harris,WR,NO,DET,"$3,400",1.44%,1.57,7.08,14.21
Christian Kirk,WR,ARI,CAR,"$4,400",3.68%,1.72,7.17,14.13
Greg Olsen,TE,SEA,MIA,"$4,100",1.87%,2.28,7.71,14.06
Nelson Agholor,WR,LV,BUF,"$3,500",2.16%,1.81,7.12,13.83
Duke Johnson,RB,HOU,MIN,"$4,000",3.04%,0.37,6.22,13.77
Brian Hill,RB,ATL,GB,"$4,000",%,0.44,6.12,13.76
Robert Tonyan Jr.,TE,GB,ATL,"$3,400",%,2.03,7.31,13.66
Van Jefferson,WR,LA,NYG,"$3,000",%,1.48,6.8,13.5
Lamical Perine,RB,NYJ,DEN,"$4,000",%,0.55,5.97,13.49
Chris Hogan,WR,NYJ,DEN,"$3,500",%,1.56,6.68,13.4
Willie Snead,WR,BAL,WAS,"$4,000",1.89%,1.59,6.68,13.39
Kalen Ballage,RB,NYJ,DEN,"$4,300",%,0.75,5.63,13.36
Jimmy Graham,TE,CHI,IND,"$3,800",6.51%,2.43,7.49,13.28
Cordarrelle Patterson,WR,CHI,IND,"$3,700",0.63%,0.2,5.91,13.27
Devontae Booker,RB,LV,BUF,"$4,000",0.68%,0.23,5.55,13.09
Jordan Akins,TE,HOU,MIN,"$3,300",2.71%,2.27,7.11,13.01
Jalen Guyton,WR,LAC,TB,"$3,400",0.55%,1.35,6.3,13
Giovani Bernard,RB,CIN,JAX,"$4,400",1.80%,1.33,6.07,12.93
Justin Watson,WR,TB,LAC,"$3,400",0.97%,1.1,5.97,12.61
Josh Reynolds,WR,LA,NYG,"$4,100",2.35%,1.09,6.14,12.6
Kenny Stills,WR,HOU,MIN,"$3,200",0.76%,1.11,6.11,12.6
Kerryon Johnson,RB,DET,NO,"$4,000",1.83%,0.27,5.65,12.55
